index,thread,time,run_index,lock
0,1,0.0,0,bttas
1,1,0.0,1,bttas
2,1,0.0,2,bttas
3,1,0.0,3,bttas
4,1,0.0,4,bttas
5,2,0.0,0,bttas
6,2,0.0,1,bttas
7,2,0.0,2,bttas
8,2,0.0,3,bttas
9,2,0.0,4,bttas
10,4,0.0,0,bttas
11,4,0.0,1,bttas
12,4,0.0,2,bttas
13,4,0.0,3,bttas
14,4,0.001,4,bttas
15,8,0.0,0,bttas
16,8,0.0,1,bttas
17,8,0.0,2,bttas
18,8,0.0,3,bttas
19,8,0.0,4,bttas
20,16,0.001,0,bttas
21,16,0.0,1,bttas
22,16,0.0,2,bttas
23,16,0.001,3,bttas
24,16,0.0,4,bttas
25,32,0.001,0,bttas
26,32,0.001,1,bttas
27,32,0.001,2,bttas
28,32,0.001,3,bttas
29,32,0.001,4,bttas
30,64,0.001,0,bttas
31,64,0.001,1,bttas
32,64,0.001,2,bttas
33,64,0.001,3,bttas
34,64,0.001,4,bttas
35,1,0.0,0,standard
36,1,0.0,1,standard
37,1,0.0,2,standard
38,1,0.0,3,standard
39,1,0.0,4,standard
40,2,0.001,0,standard
41,2,0.001,1,standard
42,2,0.001,2,standard
43,2,0.001,3,standard
44,2,0.001,4,standard
45,4,0.001,0,standard
46,4,0.001,1,standard
47,4,0.001,2,standard
48,4,0.001,3,standard
49,4,0.001,4,standard
50,8,0.001,0,standard
51,8,0.001,1,standard
52,8,0.001,2,standard
53,8,0.001,3,standard
54,8,0.001,4,standard
55,16,0.001,0,standard
56,16,0.001,1,standard
57,16,0.001,2,standard
58,16,0.0,3,standard
59,16,0.001,4,standard
60,32,0.001,0,standard
61,32,0.001,1,standard
62,32,0.001,2,standard
63,32,0.001,3,standard
64,32,0.001,4,standard
65,64,0.001,0,standard
66,64,0.001,1,standard
67,64,0.001,2,standard
68,64,0.001,3,standard
69,64,0.001,4,standard
70,1,0.001,0,tas
71,1,0.0,1,tas
72,1,0.001,2,tas
73,1,0.001,3,tas
74,1,0.0,4,tas
75,2,0.001,0,tas
76,2,0.001,1,tas
77,2,0.0,2,tas
78,2,0.0,3,tas
79,2,0.001,4,tas
80,4,0.0,0,tas
81,4,0.001,1,tas
82,4,0.001,2,tas
83,4,0.001,3,tas
84,4,0.0,4,tas
85,8,0.0,0,tas
86,8,0.001,1,tas
87,8,0.001,2,tas
88,8,0.0,3,tas
89,8,0.001,4,tas
90,16,0.001,0,tas
91,16,0.001,1,tas
92,16,0.001,2,tas
93,16,0.0,3,tas
94,16,0.001,4,tas
95,32,0.001,0,tas
96,32,0.001,1,tas
97,32,0.001,2,tas
98,32,0.001,3,tas
99,32,0.001,4,tas
100,64,0.001,0,tas
101,64,0.001,1,tas
102,64,0.001,2,tas
103,64,0.001,3,tas
104,64,0.001,4,tas
