index,thread,time,run_index,lock
0,2,0.221,0,bttas
1,2,0.219,1,bttas
2,2,0.219,2,bttas
3,2,0.219,3,bttas
4,2,0.223,4,bttas
5,4,0.438,0,bttas
6,4,0.456,1,bttas
7,4,0.438,2,bttas
8,4,0.434,3,bttas
9,4,0.452,4,bttas
10,8,1.255,0,bttas
11,8,0.902,1,bttas
12,8,0.896,2,bttas
13,8,0.881,3,bttas
14,8,0.874,4,bttas
15,16,1.78,0,bttas
16,16,1.779,1,bttas
17,16,1.769,2,bttas
18,16,1.774,3,bttas
19,16,1.774,4,bttas
20,32,3.967,0,bttas
21,32,3.611,1,bttas
22,32,3.652,2,bttas
23,32,3.606,3,bttas
24,32,3.594,4,bttas
25,64,7.4,0,bttas
26,64,7.401,1,bttas
27,64,7.395,2,bttas
28,64,8.489,3,bttas
29,64,7.435,4,bttas
30,2,1.226,0,standard
31,2,1.209,1,standard
32,2,1.102,2,standard
33,2,0.861,3,standard
34,2,0.991,4,standard
35,4,3.469,0,standard
36,4,3.346,1,standard
37,4,3.26,2,standard
38,4,3.057,3,standard
39,4,3.519,4,standard
40,8,4.089,0,standard
41,8,4.598,1,standard
42,8,4.055,2,standard
43,8,3.856,3,standard
44,8,4.48,4,standard
45,16,6.252,0,standard
46,16,6.356,1,standard
47,16,7.353,2,standard
48,16,6.897,3,standard
49,16,7.367,4,standard
50,32,12.414,0,standard
51,32,12.845,1,standard
52,32,12.951,2,standard
53,32,12.157,3,standard
54,32,12.825,4,standard
55,64,23.88,0,standard
56,64,23.816,1,standard
57,64,23.798,2,standard
58,64,23.414,3,standard
59,64,24.319,4,standard
