index,thread,time,run_index,lock
0,1,0.43,0,bttas
1,1,0.594,1,bttas
2,1,0.594,2,bttas
3,1,0.427,3,bttas
4,1,0.431,4,bttas
5,2,0.412,0,bttas
6,2,0.28,1,bttas
7,2,0.297,2,bttas
8,2,0.366,3,bttas
9,2,0.276,4,bttas
10,4,0.186,0,bttas
11,4,0.217,1,bttas
12,4,0.206,2,bttas
13,4,0.197,3,bttas
14,4,0.193,4,bttas
15,8,0.396,0,bttas
16,8,0.368,1,bttas
17,8,0.359,2,bttas
18,8,0.333,3,bttas
19,8,0.356,4,bttas
20,16,0.535,0,bttas
21,16,0.863,1,bttas
22,16,0.607,2,bttas
23,16,0.868,3,bttas
24,16,0.549,4,bttas
25,32,0.683,0,bttas
26,32,0.603,1,bttas
27,32,0.842,2,bttas
28,32,0.685,3,bttas
29,32,0.652,4,bttas
30,1,3.114,0,tas
31,1,1.295,1,tas
32,1,0.003,2,tas
33,1,2.623,3,tas
34,1,0.433,4,tas
35,2,8.743,0,tas
36,2,0.069,1,tas
37,2,0.086,2,tas
38,2,10.384,3,tas
39,2,0.004,4,tas
40,4,24.797,0,tas
41,4,0.71,1,tas
42,4,10.373,2,tas
43,4,0.007,3,tas
44,4,0.007,4,tas
45,8,0.013,0,tas
46,8,0.022,1,tas
47,8,1.508,2,tas
48,8,1.556,3,tas
49,8,0.009,4,tas
50,16,1.361,0,tas
51,16,1.28,1,tas
52,16,0.061,2,tas
53,16,0.061,3,tas
54,16,0.355,4,tas
55,32,1.897,0,tas
56,32,3.22,1,tas
57,32,0.636,2,tas
58,32,0.736,3,tas
59,32,0.211,4,tas
60,1,0.003,0,standard
61,1,0.003,1,standard
62,1,0.003,2,standard
63,1,0.003,3,standard
64,1,0.003,4,standard
65,2,0.004,0,standard
66,2,0.004,1,standard
67,2,0.004,2,standard
68,2,0.004,3,standard
69,2,0.004,4,standard
70,4,0.004,0,standard
71,4,0.004,1,standard
72,4,0.004,2,standard
73,4,0.004,3,standard
74,4,0.004,4,standard
75,8,0.004,0,standard
76,8,0.004,1,standard
77,8,0.004,2,standard
78,8,0.004,3,standard
79,8,0.004,4,standard
80,16,0.004,0,standard
81,16,0.004,1,standard
82,16,0.004,2,standard
83,16,0.004,3,standard
84,16,0.004,4,standard
85,32,0.005,0,standard
86,32,0.005,1,standard
87,32,0.005,2,standard
88,32,0.005,3,standard
89,32,0.005,4,standard
