index,thread,time,run_index,lock
0,1,0.001,0,standard
1,1,0.001,1,standard
2,1,0.001,2,standard
3,1,0.001,3,standard
4,1,0.001,4,standard
5,2,0.002,0,standard
6,2,0.002,1,standard
7,2,0.002,2,standard
8,2,0.002,3,standard
9,2,0.002,4,standard
10,4,0.003,0,standard
11,4,0.003,1,standard
12,4,0.003,2,standard
13,4,0.003,3,standard
14,4,0.003,4,standard
15,8,0.007,0,standard
16,8,0.007,1,standard
17,8,0.007,2,standard
18,8,0.007,3,standard
19,8,0.007,4,standard
20,16,0.015,0,standard
21,16,0.015,1,standard
22,16,0.014,2,standard
23,16,0.014,3,standard
24,16,0.015,4,standard
25,32,0.032,0,standard
26,32,0.032,1,standard
27,32,0.033,2,standard
28,32,0.031,3,standard
29,32,0.031,4,standard
30,1,0.823,0,tas
31,1,0.598,1,tas
32,1,0.622,2,tas
33,1,0.701,3,tas
34,1,0.003,4,tas
35,2,0.002,0,tas
36,2,0.024,1,tas
37,2,1.229,2,tas
38,2,0.477,3,tas
39,2,0.115,4,tas
40,4,0.017,0,tas
41,4,1.558,1,tas
42,4,1.868,2,tas
43,4,0.402,3,tas
44,4,0.426,4,tas
45,8,0.032,0,tas
46,8,0.041,1,tas
47,8,0.191,2,tas
48,8,0.573,3,tas
49,8,0.029,4,tas
50,16,1.081,0,tas
51,16,0.093,1,tas
52,16,0.108,2,tas
53,16,0.095,3,tas
54,16,0.117,4,tas
55,32,1.431,0,tas
56,32,0.686,1,tas
57,32,0.469,2,tas
58,32,0.661,3,tas
59,32,0.436,4,tas
60,1,0.001,0,bttas
61,1,0.001,1,bttas
62,1,0.001,2,bttas
63,1,0.002,3,bttas
64,1,0.001,4,bttas
65,2,0.001,0,bttas
66,2,0.001,1,bttas
67,2,0.002,2,bttas
68,2,0.003,3,bttas
69,2,0.001,4,bttas
70,4,0.005,0,bttas
71,4,0.004,1,bttas
72,4,0.002,2,bttas
73,4,0.002,3,bttas
74,4,0.016,4,bttas
75,8,0.007,0,bttas
76,8,0.009,1,bttas
77,8,0.01,2,bttas
78,8,0.004,3,bttas
79,8,0.005,4,bttas
80,16,0.024,0,bttas
81,16,0.037,1,bttas
82,16,0.015,2,bttas
83,16,0.018,3,bttas
84,16,0.023,4,bttas
85,32,0.117,0,bttas
86,32,0.128,1,bttas
87,32,0.121,2,bttas
88,32,0.087,3,bttas
89,32,0.106,4,bttas
