index,thread,time,run_index,lock
0,1,0.001,0,bttas
1,1,0.001,1,bttas
2,1,0.001,2,bttas
3,1,0.001,3,bttas
4,1,0.001,4,bttas
5,2,0.001,0,bttas
6,2,0.001,1,bttas
7,2,0.001,2,bttas
8,2,0.001,3,bttas
9,2,0.001,4,bttas
10,4,0.001,0,bttas
11,4,0.001,1,bttas
12,4,0.001,2,bttas
13,4,0.002,3,bttas
14,4,0.001,4,bttas
15,8,0.002,0,bttas
16,8,0.002,1,bttas
17,8,0.002,2,bttas
18,8,0.001,3,bttas
19,8,0.001,4,bttas
20,16,0.002,0,bttas
21,16,0.002,1,bttas
22,16,0.002,2,bttas
23,16,0.002,3,bttas
24,16,0.001,4,bttas
25,32,0.003,0,bttas
26,32,0.003,1,bttas
27,32,0.002,2,bttas
28,32,0.003,3,bttas
29,32,0.003,4,bttas
30,64,0.007,0,bttas
31,64,0.005,1,bttas
32,64,0.005,2,bttas
33,64,0.006,3,bttas
34,64,0.005,4,bttas
35,1,0.002,0,standard
36,1,0.001,1,standard
37,1,0.001,2,standard
38,1,0.001,3,standard
39,1,0.001,4,standard
40,2,0.001,0,standard
41,2,0.001,1,standard
42,2,0.001,2,standard
43,2,0.001,3,standard
44,2,0.001,4,standard
45,4,0.002,0,standard
46,4,0.002,1,standard
47,4,0.001,2,standard
48,4,0.002,3,standard
49,4,0.002,4,standard
50,8,0.002,0,standard
51,8,0.001,1,standard
52,8,0.002,2,standard
53,8,0.002,3,standard
54,8,0.002,4,standard
55,16,0.002,0,standard
56,16,0.002,1,standard
57,16,0.001,2,standard
58,16,0.003,3,standard
59,16,0.002,4,standard
60,32,0.003,0,standard
61,32,0.003,1,standard
62,32,0.003,2,standard
63,32,0.003,3,standard
64,32,0.003,4,standard
65,64,0.006,0,standard
66,64,0.006,1,standard
67,64,0.005,2,standard
68,64,0.006,3,standard
69,64,0.005,4,standard
70,1,0.002,0,ttas
71,1,0.001,1,ttas
72,1,0.001,2,ttas
73,1,0.001,3,ttas
74,1,0.001,4,ttas
75,2,0.001,0,ttas
76,2,0.001,1,ttas
77,2,0.001,2,ttas
78,2,0.001,3,ttas
79,2,0.001,4,ttas
80,4,0.001,0,ttas
81,4,0.001,1,ttas
82,4,0.001,2,ttas
83,4,0.001,3,ttas
84,4,0.001,4,ttas
85,8,0.002,0,ttas
86,8,0.001,1,ttas
87,8,0.002,2,ttas
88,8,0.002,3,ttas
89,8,0.002,4,ttas
90,16,0.002,0,ttas
91,16,0.002,1,ttas
92,16,0.002,2,ttas
93,16,0.002,3,ttas
94,16,0.002,4,ttas
95,32,0.002,0,ttas
96,32,0.003,1,ttas
97,32,0.003,2,ttas
98,32,0.006,3,ttas
99,32,0.003,4,ttas
100,64,0.005,0,ttas
101,64,0.005,1,ttas
102,64,0.005,2,ttas
103,64,0.005,3,ttas
104,64,0.005,4,ttas
105,1,0.001,0,tas
106,1,0.001,1,tas
107,1,0.001,2,tas
108,1,0.001,3,tas
109,1,0.001,4,tas
110,2,0.001,0,tas
111,2,0.001,1,tas
112,2,0.001,2,tas
113,2,0.001,3,tas
114,2,0.001,4,tas
115,4,0.001,0,tas
116,4,0.003,1,tas
117,4,0.001,2,tas
118,4,0.001,3,tas
119,4,0.001,4,tas
120,8,0.001,0,tas
121,8,0.001,1,tas
122,8,0.002,2,tas
123,8,0.002,3,tas
124,8,0.002,4,tas
125,16,0.002,0,tas
126,16,0.002,1,tas
127,16,0.002,2,tas
128,16,0.002,3,tas
129,16,0.002,4,tas
130,32,0.002,0,tas
131,32,0.003,1,tas
132,32,0.003,2,tas
133,32,0.002,3,tas
134,32,0.003,4,tas
135,64,0.005,0,tas
136,64,0.005,1,tas
137,64,0.005,2,tas
138,64,0.005,3,tas
139,64,0.005,4,tas
