index,thread,time,run_index,lock
0,2,0.236,0,bttas
1,2,0.244,1,bttas
2,2,0.251,2,bttas
3,2,0.26,3,bttas
4,2,0.272,4,bttas
5,4,0.526,0,bttas
6,4,0.48,1,bttas
7,4,0.512,2,bttas
8,4,0.486,3,bttas
9,4,0.557,4,bttas
10,8,1.098,0,bttas
11,8,1.063,1,bttas
12,8,1.259,2,bttas
13,8,1.13,3,bttas
14,8,1.074,4,bttas
15,16,2.396,0,bttas
16,16,2.448,1,bttas
17,16,2.481,2,bttas
18,16,2.422,3,bttas
19,16,2.53,4,bttas
20,32,5.497,0,bttas
21,32,5.08,1,bttas
22,32,5.368,2,bttas
23,32,5.263,3,bttas
24,32,5.267,4,bttas
25,64,11.282,0,bttas
26,64,11.476,1,bttas
27,64,11.04,2,bttas
28,64,11.466,3,bttas
29,64,11.522,4,bttas
30,2,1.308,0,standard
31,2,1.346,1,standard
32,2,1.231,2,standard
33,2,1.236,3,standard
34,2,1.243,4,standard
35,4,3.799,0,standard
36,4,3.518,1,standard
37,4,3.04,2,standard
38,4,3.117,3,standard
39,4,3.778,4,standard
40,8,4.731,0,standard
41,8,5.056,1,standard
42,8,4.659,2,standard
43,8,4.582,3,standard
44,8,4.744,4,standard
45,16,8.444,0,standard
46,16,7.929,1,standard
47,16,8.604,2,standard
48,16,8.53,3,standard
49,16,6.079,4,standard
50,32,4.057,0,standard
51,32,5.34,1,standard
52,32,5.408,2,standard
53,32,5.228,3,standard
54,32,5.238,4,standard
55,64,9.44,0,standard
56,64,10.535,1,standard
57,64,11.189,2,standard
58,64,11.709,3,standard
59,64,11.111,4,standard
60,2,2.612,0,tas
61,2,2.518,1,tas
62,2,2.57,2,tas
63,2,2.424,3,tas
64,2,2.322,4,tas
65,4,5.814,0,tas
66,4,3.474,1,tas
67,4,6.008,2,tas
68,4,5.492,3,tas
69,4,5.789,4,tas
70,8,11.348,0,tas
71,8,10.513,1,tas
72,8,9.653,2,tas
73,8,11.463,3,tas
74,8,11.707,4,tas
75,16,33.939,0,tas
76,16,30.81,1,tas
77,16,24.036,2,tas
78,16,27.648,3,tas
79,16,30.665,4,tas
80,32,147.55,0,tas
81,32,197.954,1,tas
82,32,164.926,2,tas
83,32,192.4,3,tas
84,32,212.46,4,tas
85,64,592.31,0,tas
86,64,321.717,1,tas
87,64,451.876,2,tas
88,64,392.759,3,tas
89,64,186.992,4,tas
90,2,2.179,0,ttas
91,2,2.483,1,ttas
92,2,2.712,2,ttas
93,2,2.137,3,ttas
94,2,2.109,4,ttas
95,4,4.881,0,ttas
96,4,4.164,1,ttas
97,4,4.42,2,ttas
98,4,4.172,3,ttas
99,4,4.258,4,ttas
100,8,9.445,0,ttas
101,8,9.53,1,ttas
102,8,9.751,2,ttas
103,8,9.355,3,ttas
104,8,10.292,4,ttas
105,16,19.384,0,ttas
106,16,17.636,1,ttas
107,16,18.483,2,ttas
108,16,18.133,3,ttas
109,16,19.455,4,ttas
110,32,40.904,0,ttas
111,32,41.236,1,ttas
112,32,44.082,2,ttas
113,32,42.417,3,ttas
114,32,41.306,4,ttas
115,64,124.607,0,ttas
116,64,120.249,1,ttas
117,64,119.464,2,ttas
118,64,121.705,3,ttas
119,64,116.464,4,ttas
