index,thread,time,run_index,build_type
0,1,0.007,0,standard
1,1,0.004,1,standard
2,1,0.005,2,standard
3,1,0.005,3,standard
4,1,0.005,4,standard
5,2,0.005,0,standard
6,2,0.004,1,standard
7,2,0.005,2,standard
8,2,0.004,3,standard
9,2,0.005,4,standard
10,4,0.005,0,standard
11,4,0.024,1,standard
12,4,0.006,2,standard
13,4,0.005,3,standard
14,4,0.005,4,standard
15,8,0.005,0,standard
16,8,0.009,1,standard
17,8,0.005,2,standard
18,8,0.005,3,standard
19,8,0.005,4,standard
20,16,0.008,0,standard
21,16,0.007,1,standard
22,16,0.006,2,standard
23,16,0.005,3,standard
24,16,0.005,4,standard
25,32,0.006,0,standard
26,32,0.007,1,standard
27,32,0.008,2,standard
28,32,0.006,3,standard
29,32,0.006,4,standard
30,1,0.006,0,test-and-set
31,1,0.005,1,test-and-set
32,1,0.004,2,test-and-set
33,1,0.005,3,test-and-set
34,1,0.006,4,test-and-set
35,2,0.006,0,test-and-set
36,2,0.009,1,test-and-set
37,2,0.11,2,test-and-set
38,2,0.005,3,test-and-set
39,2,0.005,4,test-and-set
40,4,1.158,0,test-and-set
41,4,0.01,1,test-and-set
42,4,1.223,2,test-and-set
43,4,1.563,3,test-and-set
44,4,0.82,4,test-and-set
45,8,0.097,0,test-and-set
46,8,0.032,1,test-and-set
47,8,0.111,2,test-and-set
48,8,0.031,3,test-and-set
49,8,0.081,4,test-and-set
50,16,0.326,0,test-and-set
51,16,0.083,1,test-and-set
52,16,0.232,2,test-and-set
53,16,0.051,3,test-and-set
54,16,0.132,4,test-and-set
55,32,0.361,0,test-and-set
56,32,0.849,1,test-and-set
57,32,1.298,2,test-and-set
58,32,0.514,3,test-and-set
59,32,0.443,4,test-and-set
60,1,0.008,0,test-and-test-and-set
61,1,0.004,1,test-and-test-and-set
62,1,0.004,2,test-and-test-and-set
63,1,0.032,3,test-and-test-and-set
64,1,0.004,4,test-and-test-and-set
65,2,0.004,0,test-and-test-and-set
66,2,0.018,1,test-and-test-and-set
67,2,0.005,2,test-and-test-and-set
68,2,0.03,3,test-and-test-and-set
69,2,0.008,4,test-and-test-and-set
70,4,0.101,0,test-and-test-and-set
71,4,0.042,1,test-and-test-and-set
72,4,0.013,2,test-and-test-and-set
73,4,0.013,3,test-and-test-and-set
74,4,0.012,4,test-and-test-and-set
75,8,0.045,0,test-and-test-and-set
76,8,0.047,1,test-and-test-and-set
77,8,0.051,2,test-and-test-and-set
78,8,0.009,3,test-and-test-and-set
79,8,0.008,4,test-and-test-and-set
80,16,0.148,0,test-and-test-and-set
81,16,0.023,1,test-and-test-and-set
82,16,0.171,2,test-and-test-and-set
83,16,0.05,3,test-and-test-and-set
84,16,0.113,4,test-and-test-and-set
85,32,0.373,0,test-and-test-and-set
86,32,0.411,1,test-and-test-and-set
87,32,0.301,2,test-and-test-and-set
88,32,0.019,3,test-and-test-and-set
89,32,0.444,4,test-and-test-and-set
90,1,0.416,0,backoff-test-and-test-and-set
91,1,0.318,1,backoff-test-and-test-and-set
92,1,0.418,2,backoff-test-and-test-and-set
93,1,0.42,3,backoff-test-and-test-and-set
94,1,0.527,4,backoff-test-and-test-and-set
95,2,0.295,0,backoff-test-and-test-and-set
96,2,0.318,1,backoff-test-and-test-and-set
97,2,0.292,2,backoff-test-and-test-and-set
98,2,0.282,3,backoff-test-and-test-and-set
99,2,0.306,4,backoff-test-and-test-and-set
100,4,0.212,0,backoff-test-and-test-and-set
101,4,0.211,1,backoff-test-and-test-and-set
102,4,0.202,2,backoff-test-and-test-and-set
103,4,0.212,3,backoff-test-and-test-and-set
104,4,0.197,4,backoff-test-and-test-and-set
105,8,0.345,0,backoff-test-and-test-and-set
106,8,0.408,1,backoff-test-and-test-and-set
107,8,0.46,2,backoff-test-and-test-and-set
108,8,0.304,3,backoff-test-and-test-and-set
109,8,0.483,4,backoff-test-and-test-and-set
110,16,0.625,0,backoff-test-and-test-and-set
111,16,0.685,1,backoff-test-and-test-and-set
112,16,0.736,2,backoff-test-and-test-and-set
113,16,0.657,3,backoff-test-and-test-and-set
114,16,0.756,4,backoff-test-and-test-and-set
115,32,0.814,0,backoff-test-and-test-and-set
116,32,0.927,1,backoff-test-and-test-and-set
117,32,0.735,2,backoff-test-and-test-and-set
118,32,0.966,3,backoff-test-and-test-and-set
119,32,0.774,4,backoff-test-and-test-and-set
